id,university,universityNative,country,city,lat,lng,region,website,established,program_level,program_name,program_duration
2011,Northeastern University,东北大学,China,Shenyang,41.7658,123.4196,asia,https://www.neu.edu.cn,1923,bachelor,Land Resource Management,4
2011,Northeastern University,东北大学,China,Shenyang,41.7658,123.4196,asia,https://www.neu.edu.cn,1923,master,Land Resource Management,3
2012,Lanzhou University,兰州大学,China,Lanzhou,36.0461,103.8593,asia,https://www.lzu.edu.cn,1909,master,Land Resource Management,3
2013,Northwest A&F University,西北农林科技大学,China,Yangling,34.2658,108.0729,asia,https://www.nwafu.edu.cn,1934,bachelor,Land Resource Management,4
2013,Northwest A&F University,西北农林科技大学,China,Yangling,34.2658,108.0729,asia,https://www.nwafu.edu.cn,1934,master,Land Resource Management,3
2014,Ocean University of China,中国海洋大学,China,Qingdao,36.0621,120.329,asia,https://www.ouc.edu.cn,1924,master,Land Resource Management,3
2015,China University of Mining and Technology,中国矿业大学,China,Xuzhou,34.2205,117.1417,asia,https://www.cumt.edu.cn,1909,bachelor,Land Resource Management,4
2015,China University of Mining and Technology,中国矿业大学,China,Xuzhou,34.2205,117.1417,asia,https://www.cumt.edu.cn,1909,master,Land Resource Management,3
2016,Hohai University,河海大学,China,Nanjing,32.059,118.769,asia,https://www.hhu.edu.cn,1915,bachelor,Land Resource Management,4
2016,Hohai University,河海大学,China,Nanjing,32.059,118.769,asia,https://www.hhu.edu.cn,1915,master,Land Resource Management,3
2017,Sichuan Agricultural University,四川农业大学,China,Ya'an,29.9824,103.0018,asia,https://www.sicau.edu.cn,1906,bachelor,Land Resource Management,4
2017,Sichuan Agricultural University,四川农业大学,China,Ya'an,29.9824,103.0018,asia,https://www.sicau.edu.cn,1906,master,Land Resource Management,3
2018,Southwest University,西南大学,China,Chongqing,29.8133,106.4286,asia,https://www.swu.edu.cn,1906,bachelor,Land Resource Management,4
2018,Southwest University,西南大学,China,Chongqing,29.8133,106.4286,asia,https://www.swu.edu.cn,1906,master,Land Resource Management,3
2019,Chang'an University,长安大学,China,Xi'an,34.2273,108.9632,asia,https://www.chd.edu.cn,1951,bachelor,Land Resource Management,4
2019,Chang'an University,长安大学,China,Xi'an,34.2273,108.9632,asia,https://www.chd.edu.cn,1951,master,Land Resource Management,3
2020,Huazhong Agricultural University,华中农业大学,China,Wuhan,30.4749,114.3555,asia,https://www.hzau.edu.cn,1898,bachelor,Land Resource Management,4
2020,Huazhong Agricultural University,华中农业大学,China,Wuhan,30.4749,114.3555,asia,https://www.hzau.edu.cn,1898,master,Land Resource Management,3
2021,Northeast Agricultural University,东北农业大学,China,Harbin,45.7446,126.7263,asia,https://www.neau.edu.cn,1948,bachelor,Land Resource Management,4
2021,Northeast Agricultural University,东北农业大学,China,Harbin,45.7446,126.7263,asia,https://www.neau.edu.cn,1948,master,Land Resource Management,3
2022,China University of Geosciences (Beijing),中国地质大学（北京）,China,Beijing,40.000,116.3407,asia,https://www.cugb.edu.cn,1952,bachelor,Land Resource Management,4
2022,China University of Geosciences (Beijing),中国地质大学（北京）,China,Beijing,40.000,116.3407,asia,https://www.cugb.edu.cn,1952,master,Land Resource Management,3
2100,IPB University,Institut Pertanian Bogor,Indonesia,Bogor,,106.7246,asia,https://www.ipb.ac.id,1963,bachelor,Land Resource Management,4
2110,University Putra Malaysia,Universiti Putra Malaysia,Malaysia,Serdang,2.9936,101.7139,asia,https://www.upm.edu.my,1971,bachelor,Land Administration & Development,4
2110,University Putra Malaysia,Universiti Putra Malaysia,Malaysia,Serdang,2.9936,101.7139,asia,https://www.upm.edu.my,1971,master,Land Administration and Development,2
2111,University Teknologi Malaysia,Universiti Teknologi Malaysia,Malaysia,Johor Bahru,1.5603,103.6376,asia,https://www.utm.my,1972,bachelor,Land Administration,3
2120,Visayas State University,Visayas State University,Philippines,Baybay,10.7482,124.7948,asia,https://www.vsu.edu.ph,1924,master,Land Administration and Management,2
2121,University of the Philippines Open University,Unibersidad ng Pilipinas Open University,Philippines,Los Baños,14.1651,121.2425,asia,https://www.upou.edu.ph,1995,master,Land Valuation and Management,2
2130,Royal University of Law and Economics,សាកលវិទ្យាល័យភូមិន្ទនីតិសាស្ត្រ និងវិទ្យាសាស្ត្រសេដ្ឋកិច្ច,Cambodia,Phnom Penh,11.5709,104.8980,asia,https://www.rule.edu.kh,2003,master,Land Law and Real Estate,2
2131,Royal University of Agriculture,សាកលវិទ្យាល័យភូមិន្ទកសិកម្ម,Cambodia,Phnom Penh,11.49,104.85,asia,https://www.rua.edu.kh,1964,bachelor,Land Management and Land Administration,4
2140,Can Tho University,Đại học Cần Thơ,Vietnam,Can Tho,10.0299,105.7685,asia,https://www.ctu.edu.vn,1966,bachelor,Land Management,4
2140,Can Tho University,Đại học Cần Thơ,Vietnam,Can Tho,10.0299,105.7685,asia,https://www.ctu.edu.vn,1966,master,Land Management,2
2141,Vietnam National University of Agriculture,Học viện Nông nghiệp Việt Nam,Vietnam,Hanoi,21.0042,105.9350,asia,https://www.vnua.edu.vn,1956,bachelor,Land Management,4
2141,Vietnam National University of Agriculture,Học viện Nông nghiệp Việt Nam,Vietnam,Hanoi,21.0042,105.9350,asia,https://www.vnua.edu.vn,1956,master,Land Management,2
2142,Nam Can Tho University,Đại học Nam Cần Thơ,Vietnam,Can Tho,10.0186,105.7614,asia,https://www.nctu.edu.vn,2014,bachelor,Land Management,4
2142,Nam Can Tho University,Đại học Nam Cần Thơ,Vietnam,Can Tho,10.0186,105.7614,asia,https://www.nctu.edu.vn,2014,master,Land Management,2
2143,Hue University,Đại học Huế,Vietnam,Hue,16.4619,107.5955,asia,https://www.hueuni.edu.vn,1957,bachelor,Land Management,4
2143,Hue University,Đại học Huế,Vietnam,Hue,16.4619,107.5955,asia,https://www.hueuni.edu.vn,1957,master,Land Management,2
2144,Hue University of Agriculture and Forestry,Đại học Nông Lâm Huế,Vietnam,Hue,16.45,107.57,asia,https://www.huaf.edu.vn,1967,bachelor,Land Management,4
2144,Hue University of Agriculture and Forestry,Đại học Nông Lâm Huế,Vietnam,Hue,16.45,107.57,asia,https://www.huaf.edu.vn,1967,master,Land Management,2
2150,Jagannath University,জগন্নাথ বিশ্ববিদ্যালয়,Bangladesh,Dhaka,23.712,90.4097,asia,https://www.jnu.ac.bd,1858,master,Law (Land Management),1
2160,Kathmandu University,काठमाडौं विश्वविद्यालय,Nepal,Dhulikhel,27.6192,85.5387,asia,https://www.ku.edu.np,1991,master,Land Administration,2
2170,Almaty University,Алматы университеті,Kazakhstan,Almaty,43.21,76.89,asia,https://www.almau.edu.kz,1996,bachelor,Land Management,4
2171,Kazakh National Research Technical University,Қазақ ұлттық зерттеу техникалық университеті,Kazakhstan,Almaty,43.2363,76.9094,asia,https://satbayev.university,1934,master,Land Management,2
2172,Al-Farabi Kazakh National University,Әл-Фараби атындағы Қазақ ұлттық университеті,Kazakhstan,Almaty,43.21,76.85,asia,https://www.kaznu.kz,1934,bachelor,Land Management,4
2172,Al-Farabi Kazakh National University,Әл-Фараби атындағы Қазақ ұлттық университеті,Kazakhstan,Almaty,43.21,76.85,asia,https://www.kaznu.kz,1934,master,Land Management,2
